"No.","Time","Source","Destination","Protocol","Length","Info","Source port","Destination port"
"1353","19.808922","192.168.100.103","192.168.100.101","TCP","60","44277  >  5859 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","5859"
"1354","19.808930","192.168.100.103","192.168.100.101","TCP","60","44277  >  8082 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","8082"
"1355","19.809171","192.168.100.103","192.168.100.101","TCP","60","44277  >  8899 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","8899"
"1356","19.809177","192.168.100.103","192.168.100.101","TCP","60","44277  >  4006 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","4006"
"1357","19.809385","192.168.100.103","192.168.100.101","TCP","60","44276  >  3659 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","3659"
"1358","19.809391","192.168.100.103","192.168.100.101","TCP","60","44276  >  5825 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","5825"
"1359","19.809591","192.168.100.103","192.168.100.101","TCP","60","44276  >  6009 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","6009"
"1360","19.809598","192.168.100.103","192.168.100.101","TCP","60","44276  >  1971 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1971"
"1361","19.809851","192.168.100.103","192.168.100.101","TCP","60","44276  >  20005 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","20005"
"1362","19.809856","192.168.100.103","192.168.100.101","TCP","60","44276  >  9503 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","9503"
"1363","19.810077","192.168.100.103","192.168.100.101","TCP","60","44276  >  32784 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","32784"
"1364","19.813465","192.168.100.103","192.168.100.101","TCP","60","44276  >  3546 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","3546"
"1365","19.813562","192.168.100.103","192.168.100.101","TCP","60","44276  >  1163 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1163"
"1366","19.816009","192.168.100.103","192.168.100.101","TCP","60","44276  >  6788 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","6788"
"1367","19.816103","192.168.100.103","192.168.100.101","TCP","60","44276  >  6101 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","6101"
"1368","19.816196","192.168.100.103","192.168.100.101","TCP","60","44276  >  6025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","6025"
"1369","19.816354","192.168.100.103","192.168.100.101","TCP","60","44276  >  8008 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","8008"
"1370","19.816492","192.168.100.103","192.168.100.101","TCP","60","44276  >  4005 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","4005"
"1371","19.819028","192.168.100.103","192.168.100.101","TCP","60","44276  >  7800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","7800"
"1372","19.819036","192.168.100.103","192.168.100.101","TCP","60","44276  >  8090 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","8090"
"1373","19.819213","192.168.100.103","192.168.100.101","TCP","60","44276  >  18101 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","18101"
"1374","19.819220","192.168.100.103","192.168.100.101","TCP","60","44276  >  7002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","7002"
"1375","19.822751","192.168.100.103","192.168.100.101","TCP","60","44276  >  6001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","6001"
"1376","19.822756","192.168.100.103","192.168.100.101","TCP","60","44276  >  1272 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1272"
"1377","19.825757","192.168.100.103","192.168.100.101","TCP","60","44276  >  30951 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","30951"
"1378","19.825763","192.168.100.103","192.168.100.101","TCP","60","44276  >  722 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","722"
"1379","19.825956","192.168.100.103","192.168.100.101","TCP","60","44276  >  3017 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","3017"
"1380","19.826053","192.168.100.103","192.168.100.101","TCP","60","44276  >  1583 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1583"
"1381","19.826146","192.168.100.103","192.168.100.101","TCP","60","44276  >  56738 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","56738"
"1382","19.839981","99.158.44.98","1.47.182.210","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"1383","19.880089","99.57.187.116","1.80.202.80","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"1384","19.887195","192.168.100.103","192.168.100.101","TCP","60","44277  >  15003 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","15003"
"1385","19.889851","192.168.100.103","192.168.100.101","TCP","60","44277  >  9011 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","9011"
"1386","19.890017","192.168.100.103","192.168.100.101","TCP","60","44276  >  8443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","8443"
"1387","19.890023","192.168.100.103","192.168.100.101","TCP","60","44276  >  3800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","3800"
"1388","19.893659","192.168.100.103","192.168.100.101","TCP","60","44276  >  1034 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1034"
"1389","19.893667","192.168.100.103","192.168.100.101","TCP","60","44276  >  13783 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","13783"
"1390","19.897070","192.168.100.103","192.168.100.101","TCP","60","44276  >  1102 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1102"
"1391","19.897094","192.168.100.103","192.168.100.101","TCP","60","44276  >  3372 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","3372"
"1392","19.897621","192.168.100.103","192.168.100.101","TCP","60","44276  >  16993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","16993"
